age.group,participants,proportion
"[0,5)",74,0.0986666666666667
"[5,10)",76,0.101333333333333
"[10,15)",67,0.0893333333333333
"[15,20)",75,0.1
"[20,25)",48,0.064
"[25,30)",43,0.0573333333333333
"[30,35)",44,0.0586666666666667
"[35,40)",39,0.052
"[40,45)",38,0.0506666666666667
"[45,50)",50,0.0666666666666667
"[50,55)",54,0.072
"[55,60)",52,0.0693333333333333
"[60,65)",41,0.0546666666666667
"[65,70)",22,0.0293333333333333
70+,27,0.036
